Sexo;Provincias;Municipios;Edad (grupos quinquenales);Periodo;Total
Total;16 Cuenca;16025 Arrancacepas;100 y más años;1 de enero de 2020;0
Total;16 Cuenca;16026 Atalaya del Cañavate;Todas las edades;1 de enero de 2020;98
Total;16 Cuenca;16026 Atalaya del Cañavate;De 0 a 4 años;1 de enero de 2020;1
Total;16 Cuenca;16026 Atalaya del Cañavate;De 5 a 9 años;1 de enero de 2020;2
Total;16 Cuenca;16026 Atalaya del Cañavate;De 10 a 14 años;1 de enero de 2020;1
Total;16 Cuenca;16026 Atalaya del Cañavate;De 65 a 69 años;1 de enero de 2020;9
Total;16 Cuenca;16026 Atalaya del Cañavate;De 70 a 74 años;1 de enero de 2020;5
Total;16 Cuenca;16026 Atalaya del Cañavate;De 75 a 79 años;1 de enero de 2020;7
Total;16 Cuenca;16026 Atalaya del Cañavate;De 80 a 84 años;1 de enero de 2020;9
Total;16 Cuenca;16026 Atalaya del Cañavate;De 85 a 89 años;1 de enero de 2020;5
Total;16 Cuenca;16026 Atalaya del Cañavate;De 90 a 94 años;1 de enero de 2020;1
Total;16 Cuenca;16026 Atalaya del Cañavate;De 95 a 99 años;1 de enero de 2020;0
Total;16 Cuenca;16026 Atalaya del Cañavate;100 y más años;1 de enero de 2020;0
Total;16 Cuenca;16027 Barajas de Melo;Todas las edades;1 de enero de 2020;940
Total;16 Cuenca;16027 Barajas de Melo;De 0 a 4 años;1 de enero de 2020;22
Total;16 Cuenca;16027 Barajas de Melo;De 5 a 9 años;1 de enero de 2020;28
Total;16 Cuenca;16027 Barajas de Melo;De 10 a 14 años;1 de enero de 2020;43
Total;16 Cuenca;16027 Barajas de Melo;De 65 a 69 años;1 de enero de 2020;53
Total;16 Cuenca;16027 Barajas de Melo;De 70 a 74 años;1 de enero de 2020;42
Total;16 Cuenca;16027 Barajas de Melo;De 75 a 79 años;1 de enero de 2020;38
Total;16 Cuenca;16027 Barajas de Melo;De 80 a 84 años;1 de enero de 2020;37
Total;16 Cuenca;16027 Barajas de Melo;De 85 a 89 años;1 de enero de 2020;40
Total;16 Cuenca;16027 Barajas de Melo;De 90 a 94 años;1 de enero de 2020;21
